BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON_DebtCon,REASON_HomeImp,JOB_Mgr,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,P_BAD0,P_BAD1
1,1100,25860,39025,10.5,0,0,94.36666667,1,9,34.81826182,0,1,0,0,1,0,0,0,0.582025114,0.417974886
1,1300,70053,68400,7,0,2,121.8333333,0,14,34.81826182,0,1,0,0,1,0,0,0,0.6706009,0.3293991
1,1500,13500,16700,4,0,0,149.4666667,1,10,34.81826182,0,1,0,0,1,0,0,0,0.665334122,0.334665878
1,1500,65019,89235.5,7,0,0,173.4666667,1,20,34.81826182,0,0,0,0,1,0,0,0,0.7224383,0.2775617
0,1700,97800,112000,3,0,0,93.33333333,0,14,34.81826182,0,1,0,1,0,0,0,0,0.641615174,0.358384826
1,1700,30548,40320,9,0,0,101.4660019,1,8,37.11361356,0,1,0,0,1,0,0,0,0.598950845,0.401049155
1,1800,48649,57037,5,3,2,77.1,1,17,34.81826182,0,1,0,0,1,0,0,0,0.560890575,0.439109425
1,1800,28502,43034,11,0,0,88.76602988,0,8,36.88489409,0,1,0,0,1,0,0,0,0.575215743,0.424784257
1,2000,32700,46740,3,0,2,216.9333333,1,12,34.81826182,0,1,0,0,1,0,0,0,0.768791347,0.231208653
1,2000,65019,62250,16,0,0,115.8,0,13,34.81826182,0,1,0,0,0,0,1,0,0.67215297,0.32784703
1,2000,22608,89235.5,18,0,0,173.4666667,1,20,34.81826182,0,0,0,0,1,0,0,0,0.668360415,0.331639585
1,2000,20627,29800,11,0,1,122.5333333,1,9,34.81826182,0,1,0,1,0,0,0,0,0.632550604,0.367449396
1,2000,45000,55000,3,0,0,86.06666667,2,25,34.81826182,0,1,0,0,1,0,0,0,0.56374849,0.43625151
0,2000,64536,87400,2.5,0,0,147.1333333,0,24,34.81826182,0,0,1,0,0,0,0,0,0.678560111,0.321439889
1,2100,71000,83850,8,0,1,123,0,16,34.81826182,0,1,0,0,1,0,0,0,0.66744988,0.33255012
1,2200,24280,34687,7,0,1,300.8666667,0,8,34.81826182,0,1,0,0,1,0,0,0,0.862048163,0.137951837
1,2200,90957,102600,7,2,6,122.9,1,22,34.81826182,0,1,1,0,0,0,0,0,0.668961707,0.331038293
1,2200,23030,89235.5,19,0,0,173.4666667,1,20,3.711312299,0,0,0,0,1,0,0,0,0.747456427,0.252543573
1,2300,28192,40150,4.5,0,0,54.6,1,16,34.81826182,0,1,0,0,1,0,0,0,0.50691253,0.49308747
0,2300,102370,120953,2,0,0,90.99253347,0,13,31.58850318,0,1,0,1,0,0,0,0,0.652076978,0.347923022
